corpus,layer,v,raw,ablated,verdict,q_median
C1,21,0.75,0.4815626622545671,0.47138345413999383,fail,28.0
C1,21,0.9,0.3792616841309655,0.374249806396282,fail,61.0
C1,22,0.5,0.6191640622988622,0.6169180756149582,fail,8.0
C1,22,0.75,0.473606577271253,0.46593234181328796,fail,28.0
C1,22,0.9,0.37180286470646695,0.3676273569509094,fail,60.5
C1,23,0.5,0.6236402475868512,0.6128164171374635,fail,8.0
C1,23,0.75,0.4578982335066446,0.45599784518415787,fail,29.0
C1,23,0.9,0.36315724713183584,0.3597757980441087,fail,62.0
C1,24,0.5,0.6146714660595255,0.598867461566135,fail,8.0
C1,24,0.75,0.4490112762025456,0.4373993273813448,fail,29.0
C1,24,0.9,0.3586776814306112,0.35362186916897376,fail,63.0
C1,25,0.5,0.6054680950322332,0.5772518605122821,fail,8.0
C1,25,0.75,0.43466965502298816,0.4248910493966037,fail,30.0
C1,25,0.9,0.34998045166753633,0.34387739215594526,fail,64.0
C1,26,0.5,0.5836665785658626,0.567091163016449,fail,9.0
C1,26,0.75,0.42145128950838984,0.41449423945421837,fail,31.0
C1,26,0.9,0.3379497475819019,0.33479044050306317,fail,66.0
C1,27,0.5,0.582088597896885,0.5601228867242465,fail,9.0
C1,27,0.75,0.4198122885771479,0.4196054329861516,fail,31.0
C1,27,0.9,0.3385113196906752,0.336874384130958,fail,65.0
C1,28,0.5,0.5547678831399512,0.5551550035670831,fail,9.0
C1,28,0.75,0.4125845245495896,0.4100022474995871,fail,32.0
C1,28,0.9,0.3299205232008934,0.3299715272145467,fail,66.0
C1,29,0.5,0.5652425191756747,0.5542234624482156,fail,9.0
C1,29,0.75,0.4045149025956254,0.4005457649495796,fail,33.0
C1,29,0.9,0.3220829455919133,0.31891418828775786,fail,67.0
C1,30,0.5,0.5721359946102463,0.5573695572584211,fail,9.0
C1,30,0.75,0.4030858575746945,0.39683102852081065,fail,32.5
C1,30,0.9,0.3224018932175402,0.3205900363013006,fail,67.0
C1,31,0.5,0.6121291004056,0.6059506357085512,fail,9.0
C1,31,0.75,0.4165656447404158,0.4146651221168476,fail,32.0
C1,31,0.9,0.33086949138954735,0.3307987725054442,fail,68.0
C1,32,0.5,0.6582517597767018,0.6622512866539636,fail,7.0
C1,32,0.75,0.4573435968204478,0.4533173343249009,fail,31.0
C1,32,0.9,0.3512996419522604,0.3490344439452623,fail,68.0
C2,1,0.5,0.7699692452189356,0.7997659343927606,pass,4.0
C2,1,0.75,0.6899121209938124,0.6521410266070768,fail,16.0
C2,1,0.9,0.5448254607068816,0.5291793782628534,fail,45.0
C2,2,0.5,0.643355542531121,0.624689037190121,fail,6.0
C2,2,0.75,0.5023452757578183,0.5021169629307967,fail,21.0
C2,2,0.9,0.5664953581194148,0.5640322059217989,fail,44.0
C2,3,0.5,0.676694029512397,0.6707681064178405,fail,6.0
C2,3,0.75,0.520110210040307,0.5151100456301991,fail,21.0
C2,3,0.9,0.4371659827982577,0.4358124997092364,fail,51.5
